계선장소명,계선장소명_encoded
SK2부두 01,0
가스부두,1
SK1부두 12,2
정박지-M1,3
현대오일터미널신항부두,4
4부두 02,5
정박지-M2,6
장생포호안,7
SK4부두,8
정일1부두,9
신항컨테이너부두 04,10
2부두 03,11
온산3부두,12
UTK부두,13
현중해양의장안벽,14
S-OIL1부두,15
정박지-E1,16
SK8부두,17
정일스톨트헤븐울산신항4부두,18
SK5부두,19
S-OIL 4부두 01,20
정일스톨트헤븐울산신항3부두,21
SK2부두 02,22
정박지-E2,23
S-OIL2부두,24
5부두 01,25
정박지-E3,26
SK6부두,27
S-OIL 4부두 02,28
온산2부두,29
신항남방파제T/S부두 01,30
7부두 01,31
SK1부두 11,32
정박지-M7,33
정일스톨트헤븐울산신항5부두,34
S-OIL3부두,35
염포부두 02,36
화암부두 06,37
3부두 02,38
1부두 01,39
2부두 02,40
정박지-M5,41
용잠부두 02,42
UTT부두,43
8부두 01,44
일반부두 07,45
유화1부두,46
효성부두,47
정박지-M4,48
S-OIL 4부두 03,49
정일2부두,50
8부두 02,51
용잠부두 01,52
S-OIL부이 02,53
OTK부두,54
세방신항부두,55
온산1부두,56
4부두 01,57
SK3부두,58
SK7부두,59
6부두 03,60
온산4부두,61
신항남방파제T/S부두 02,62
우봉소형선부두,63
정박지-M6,64
정박지-M3,65
자동차부두 02,66
석탄부두 01,67
자동차부두 01,68
일반부두 06,69
2부두 01,70
미포부두 01,71
현대미포의장안벽 01,72
3부두 01,73
염포부두 01,74
한진신항부두,75
대한통운신항부두,76
자동차부두 03,77
이진소형선부두,78
용연부두 01,79
매암부두,80
일반부두 08,81
신항일반부두 02,82
SK부이 02,83
6부두 05,84
양곡부두,85
엘에스엠앤엠신항부두,86
신항일반부두 01,87
6부두 04,88
6부두 02,89
현대미포의장안벽 03,90
용연부두 02,91
정박지-W1,92
SK부이 03,93
신항북방파제T/S부두 01,94
남화부두,95
신항컨테이너부두 03,96
6부두 01,97
염포부두 03,98
9부두 01,99
(구)벙커링전용정박지 E3,100
(구)벙커링전용정박지 E2,101
(구)벙커링전용정박지 E1,102
신항북방파제T/S부두 02,103
현대미포의장안벽 05,104
신항컨테이너부두 02,105
신항부두작업장,106
정일컨부두,107
현대미포의장안벽 04,108
미포부두 02,109
S-OIL부이 01,110
UTK 신항부두,111
현대미포의장안벽 02,112
화암부두 05,113
신항컨테이너부두 01,114
달포부두 01,115
벙커링전용정박지-B12,116
화암부두 01,117
벙커링전용정박지-B31,118
벙커링전용정박지-B21,119
벙커링전용정박지-B11,120
벙커링전용정박지-B32,121
일반부두 05,122
일반부두 02,123
벙커링전용정박지-B22,124
