호출부호,호출부호_encoded
88238,0
DSRB9,1
D7SC,2
130095,3
160014,4
3FSX4,5
DSND9,6
DSRE7,7
71242,8
91321,9
3FJE5,10
H9HG,11
130079,12
971160,13
40438,14
120025,15
9KJW,16
120011,17
105245,18
38217,19
3EYQ5,20
100314,21
122801,22
3EWC6,23
A8XY7,24
192827,25
3FWP5,26
DSAG,27
DSNR6,28
134806,29
D5NP9,30
D7TL,31
180031,32
130060,33
D8QR,34
D9WW,35
3FST6,36
DSMD,37
184803,38
3EBD8,39
130093,40
36715,41
166802,42
3EZT8,43
150071,44
VRGG9,45
DSDB8,46
DSQA4,47
120075,48
134814,49
3ESC2,50
C6VP7,51
HZED,52
194803,53
120021,54
170035,55
192801,56
3FAZ3,57
3FBS2,58
BYIN,59
C6CH6,60
DSFW5,61
DSRN9,62
3FTB7,63
BIBM5,64
105351,65
3FEK7,66
130051,67
130064,68
90211,69
170002,70
955269,71
3FKL5,72
170036,73
DSDD6,74
H9ID,75
HPBS,76
161064,77
3FFU8,78
9V6159,79
HOOB,80
76548,81
100830,82
130017,83
DSEA5,84
DSQF5,85
185303,86
190008,87
180016,88
D7WJ,89
DSRK4,90
JG5415,91
50817,92
3FUO4,93
V7LM8,94
D5UU3,95
DSMB,96
DSRP5,97
D7US,98
V7OH4,99
80568,100
V7ET6,101
V7ST6,102
DSPH2,103
140052,104
9V5322,105
V7OM3,106
DSQH5,107
V7SU7,108
3FDJ3,109
3FPA2,110
DSMS2,111
LAGA7,112
112802,113
VRGG4,114
130029,115
971626,116
HPDR,117
100611,118
134809,119
3FIG4,120
DSFN9,121
120068,122
V7EU4,123
160064,124
D7FD,125
BIAD3,126
DSDD7,127
D7EF,128
60821,129
960771,130
3WVA,131
HOJK,132
3FMR8,133
9V9225,134
H3NF,135
DSQJ6,136
120064,137
130004,138
180017,139
D5NU2,140
D5SB4,141
VRJP9,142
HOXG,143
VRPS4,144
7JQW,145
DSQT8,146
3FHO2,147
DSNA8,148
40484,149
HO9294,150
9V3453,151
3FDM6,152
960823,153
V7OI3,154
71381,155
DSRE2,156
7JOY,157
D7DI,158
DSQW6,159
3EWF8,160
HP8731,161
3FUZ4,162
BQQC,163
140025,164
150074,165
D7TR,166
DSEN2,167
DSQY3,168
162805,169
D7SN,170
DSIU5,171
DSNM2,172
ZGEY3,173
170039,174
58282,175
120066,176
A8SW8,177
DSQK8,178
H3UD,179
9V3529,180
3ECI8,181
120059,182
HPWW,183
D7BK,184
D7NR,185
90831,186
91116,187
D7DD,188
9V5143,189
D8CJ,190
VRAO2,191
3FHR5,192
176801,193
DSRC4,194
130096,195
174810,196
DSPW9,197
V7A2776,198
180025,199
146804,200
D9HA,201
LAHY6,202
ZGFY4,203
160031,204
170030,205
9V7493,206
D7MW,207
VRFX9,208
9V9557,209
D5QN6,210
190015,211
3FKM,212
3FZO6,213
ZGGC2,214
3EKP7,215
D8RM,216
DSPP3,217
132807,218
190005,219
3ECG6,220
9V2824,221
S6CQ8,222
HOSM,223
9V7536,224
DSPJ6,225
150082,226
3EBB6,227
VRNP5,228
120072,229
D5AE7,230
DSME,231
VRDB7,232
JD3225,233
3EJD9,234
9V5408,235
130031,236
180018,237
925334,238
3EPM9,239
D7FY,240
3EGI8,241
3EMU8,242
DSQG9,243
3FCG7,244
925419,245
3FBF6,246
9V9940,247
3ENL7,248
D7BJ,249
130063,250
D7MC,251
9V8625,252
D7OL,253
HPTJ,254
3FMO8,255
3FNE5,256
A8TJ4,257
130008,258
DSRJ2,259
BQTQ,260
3FVV2,261
V7GW6,262
3FSH3,263
MAQR7,264
V7VG3,265
3FIC3,266
3FLI8,267
V7OS6,268
D7SQ,269
D7LQ,270
190025,271
150040,272
3EWD3,273
114801,274
3EVI5,275
ZGBG,276
P3TK9,277
7JTF,278
9LU2620,279
V7AY5,280
3EAC2,281
D7YD,282
A8RD9,283
D7AY,284
9V3937,285
140031,286
3EVS3,287
9V8221,288
DSPV8,289
D8SD,290
HONQ,291
LAIX6,292
D8YJ,293
ELVD6,294
110069,295
9V5490,296
110047,297
D5TG8,298
3FAO6,299
3FSA6,300
DSPO9,301
3EPW3,302
V7A2663,303
DSQA5,304
9V5043,305
VREO7,306
3FYE,307
975660,308
D8SV,309
D8BO,310
H3QY,311
9V2957,312
DSNR5,313
V7ZV6,314
HPGG,315
LAMI7,316
D7AT,317
P3TL9,318
9V9556,319
D7GR,320
D7BX,321
DSEX3,322
PCPA,323
SVAP3,324
DSPD6,325
3FKQ2,326
DSRL7,327
3EOE8,328
7JQC,329
3EGU7,330
DSQI3,331
VRKW8,332
ELSN7,333
D7RS,334
D5RU8,335
3FZE4,336
A8PH9,337
DSQT6,338
V7A2681,339
VRJR5,340
D7TP,341
3EWU8,342
JK5538,343
VRDD8,344
3FTM3,345
DSOD8,346
3EZF2,347
971559,348
3EEK7,349
9V5084,350
D7TE,351
WGDW,352
9V6438,353
2IYG7,354
BEME7,355
V7BJ5,356
D7ES,357
D7AP,358
980117,359
C6BV3,360
VRRZ3,361
920796,362
D7NM,363
DSQP2,364
V7RW6,365
A8VN3,366
D8DB,367
DSRH6,368
9V2137,369
DSRO4,370
2GXK8,371
18212,372
VRTC8,373
D8BR,374
965380,375
9MWS7,376
D5BW5,377
V7GW8,378
V7OH9,379
130047,380
